"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104",".parents() - get parent DOM elements from DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","841",".select() - select an option in a <select> element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","2806","cy.viewport() - set the viewport size and dimension","Viewport","2026-09-08","passed","2026-09-08","","","",""
"","1023","cy.exec() - execute a system command","Misc","2026-09-08","passed","2026-09-08","","","",""
"","3616",".type() - type into a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","87","cy.wrap() - wrap an object","Misc","2026-09-08","passed","2026-09-08","","","",""
"","353","Cypress._ - call a lodash method","Utilities","2026-09-08","passed","2026-09-08","","","",""
"","378","cy.reload() - reload the page","Navigation","2026-09-08","passed","2026-09-08","","","",""
"","369","cy.request() - save response in the shared test context","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","341","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","2538","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","87","matches unknown text between two elements","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","155",".closest() - get closest ancestor DOM element","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","93","yields the returned value to the next command","Connectors","2026-09-08","passed","2026-09-08","",".then()","",""
"","346","cy.getCookie() - get a browser cookie","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","426","can filter for uncompleted tasks","example to-do app","2026-09-08","passed","2026-09-08","","with a checked task","",""
"","176","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-08","passed","2026-09-08","","","",""
"","191","cy.clearCookie() - clear a browser cookie","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","619","cy.screenshot() - take a screenshot","Misc","2026-09-08","passed","2026-09-08","","Cypress.Screenshot","",""
"","174","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-09-08","passed","2026-09-08","","","",""
"","23","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","104","pass your own callback function to should()","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","85","Get current spec information","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.spec","",""
"","84","assert - assert shape of an object","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","93","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-09-08","passed","2026-09-08","","","",""
"","407","can add new todo items","example to-do app","2026-09-08","passed","2026-09-08","","","",""
"","232","Cypress.$ - call a jQuery method","Utilities","2026-09-08","passed","2026-09-08","","","",""
"","460","displays two todo items by default","example to-do app","2026-09-08","passed","2026-09-08","","","",""
"","221","cy.wait() - wait for a specific route","Waiting","2026-09-08","passed","2026-09-08","","","",""
"","93","Get CPU architecture name of underlying OS","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.arch","",""
"","89","yields the value yielded by the last Cypress command inside","Connectors","2026-09-08","passed","2026-09-08","",".then()","",""
"","2126","cy.scrollTo() - scroll the window or element to a position","Actions","2026-09-08","passed","2026-09-08","","","",""
"","257","cy.focused() - get the DOM element that has focus","Misc","2026-09-08","passed","2026-09-08","","","",""
"","313","cy.visit() - visit a remote url","Navigation","2026-09-08","passed","2026-09-08","","","",""
"","101",".siblings() - get all sibling DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","446",".as() - alias a route for later use","Aliasing","2026-09-08","passed","2026-09-08","","","",""
"","97",".prevAll() - get all previous sibling DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","158",".debug() - enable or disable debugging","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.Cookies","",""
"","102","cy.readFile() - read file contents","Files","2026-09-08","passed","2026-09-08","","","",""
"","96",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","97",".prev() - get previous sibling DOM element","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","118",".filter() - get DOM elements that match the selector","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","209","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","107","cy.location() - get window.location","Location","2026-09-08","passed","2026-09-08","","","",""
"","96",".first() - get first DOM element","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","104",".next() - get next sibling DOM element","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","185","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-08","passed","2026-09-08","","","",""
"","113",".its() - get properties on the current subject","Connectors","2026-09-08","passed","2026-09-08","","","",""
"","128",".focus() - focus on a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","397","cy.request() - verify response using BDD syntax","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","89","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-09-08","passed","2026-09-08","","Cypress.Screenshot","",""
"","216",".dblclick() - double click on a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","114","expect - make an assertion about a specified subject","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","122","cy.getAllCookies() - get all browser cookies","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","239","cy.request() with query parameters","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","95",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","114",".not() - remove DOM elements from set of DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","420","cy.intercept() - route responses to matching requests","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","329","cy.fixture() - load a fixture","Files","2026-09-08","passed","2026-09-08","","","",""
"","291","cy.request() - pass result to the second request","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","131","Get and set configuration options","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.config()","",""
"","260",".children() - get child DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","100","cy.fixture() or require - load a fixture","Files","2026-09-08","passed","2026-09-08","","","",""
"","250","cy.hash() - get the current URL hash","Location","2026-09-08","passed","2026-09-08","","","",""
"","106","invokes a callback function with the current subject","Connectors","2026-09-08","passed","2026-09-08","",".then()","",""
"","485",".clear() - clears an input or textarea element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","274","can delete all completed tasks","example to-do app","2026-09-08","passed","2026-09-08","","with a checked task","",""
"","4444","cy.wait() - wait for a specific amount of time","Waiting","2026-09-08","passed","2026-09-08","","","",""
"","81","Control what is printed to the Command Log","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.log","",""
"","101","cy.title() - get the title","Window","2026-09-08","passed","2026-09-08","","","",""
"","1015","cy.window() - get the global window object","Window","2026-09-08","passed","2026-09-08","","","",""
"","21","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","83","can throw any error","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","891","cy.go() - go back or forward in the browser's history","Navigation","2026-09-08","passed","2026-09-08","","","",""
"","373",".submit() - submit a form","Actions","2026-09-08","passed","2026-09-08","","","",""
"","193","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","309",".should() - make an assertion about the current subject","Assertions","2026-09-08","passed","2026-09-08","","Implicit Assertions","",""
"","124",".parent() - get parent DOM element from DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","102","cy.root() - query the root DOM element","Querying","2026-09-08","passed","2026-09-08","","","",""
"","92","cy.url() - get the current URL","Location","2026-09-08","passed","2026-09-08","","","",""
"","192","can check off an item as completed","example to-do app","2026-09-08","passed","2026-09-08","","","",""
"","295","cy.get() - query DOM elements","Querying","2026-09-08","passed","2026-09-08","","","",""
"","1908",".click() - click on a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","280","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-09-08","passed","2026-09-08","","","",""
"","114",".nextAll() - get all next sibling DOM elements","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","168",".find() - get descendant DOM elements of the selector","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","142","cy.contains() - query DOM elements with matching content","Querying","2026-09-08","passed","2026-09-08","","","",""
"","105",".invoke() - invoke a function on the current subject","Connectors","2026-09-08","passed","2026-09-08","","","",""
"","1578","retries the should callback until assertions pass","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
